slug,ticker,platform,strategy,scrape_url
oracle,ORCL,q4,q4_ir,https://investor.oracle.com/news/default.aspx
paccar,PCAR,q4,q4_ir,https://investors.paccar.com/news/default.aspx
packaging-corp,PKG,notified,notified,https://ir.packagingcorp.com/news-releases
palantir,PLTR,unknown,unknown,https://investors.palantir.com/
paramount,PSKY,notified,notified,https://ir.paramount.com/press-releases
parker,PH,notified,notified,https://investors.parker.com/news-releases
paypal,PYPL,q4,q4_ir,https://investor.pypl.com/news/default.aspx
pepsi,PEP,unknown,unknown,https://www.pepsico.com/investors
pg-and-e,PCG,unknown,unknown,https://investor.pgecorp.com/
ptc,PTC,q4,q4_ir,https://investor.ptc.com/news/default.aspx
qualcomm,QCOM,unknown,unknown,https://investor.qualcomm.com/
quanta-services,PWR,notified,notified,https://investors.quantaservices.com/news-releases
quest-diagnostics,DGX,q4,q4_ir,https://ir.questdiagnostics.com/press-releases/default.aspx
revvity,RVTY,q4,q4_ir,https://ir.revvity.com/news/default.aspx
robinhood,HOOD,notified,notified_gated,https://investors.robinhood.com/press-releases
rollins,ROL,notified,notified,https://www.rollins.com/investors/news-releases
ross-stores,ROST,notified,notified,https://investors.rossstores.com/news-releases
royal-caribbean,RCL,investorroom,investorroom,https://www.rclinvestor.com/news-releases
s-p-global,SPGI,unknown,unknown,https://investor.spglobal.com/
salesforce,CRM,q4,q4_ir,https://investor.salesforce.com/news/default.aspx
sandisk,SNDK,notified,notified,https://investor.sandisk.com/news-events/news-releases
sba-communications,SBAC,unknown,unknown,https://ir.sbasite.com/
seagate,STX,q4,q4_ir,https://investors.seagate.com/news/default.aspx
servicenow,NOW,unknown,unknown,https://investor.servicenow.com/
sherwin-williams,SHW,unknown,unknown,https://investors.sherwin-williams.com/
simon,SPG,notified,notified,https://investors.simon.com/news-releases
skyworks,SWKS,notified,notified,https://investors.skyworksinc.com/press-releases
slb,SLB,notified,notified,https://investorcenter.slb.com/news-releases
smurfit-westrock,SW,q4,q4_ir,http://investors.smurfitwestrock.com/news/default.aspx
solventum,SOLV,notified,notified,https://investors.solventum.com/news-releases
southern-company,SO,unknown,unknown,https://investor.southerncompany.com/
spacex,SPCX,unknown,unknown,https://ir.spacex.com/
stryker,SYK,unknown,unknown,https://investors.stryker.com/
super-micro,SMCI,q4,q4_ir,https://ir.supermicro.com/news/default.aspx
synchrony-financial,SYF,unknown,unknown,https://investors.synchrony.com/
synopsys,SNPS,q4,q4_ir,https://investor.synopsys.com/news/default.aspx
sysco,SYY,investis,investis,https://investors.sysco.com/annual-reports-and-sec-filings/news-releases
t-mobile,TMUS,q4,q4_ir,https://investor.t-mobile.com/news/default.aspx
t-rowe-price,TROW,notified,notified,https://investors.troweprice.com/news-releases
take-two-games,TTWO,unknown,unknown,https://www.take2games.com/ir
tapestry,TPR,notified,notified,https://investors.tapestry.com/news-releases
te-connectivity,TEL,notified,notified,https://investors.te.com/news-releases
teradyne,TER,notified,notified,https://investors.teradyne.com/news-events/press-releases
tesla,TSLA,unknown,unknown,https://ir.tesla.com/
texas-instruments,TXN,notified,notified,https://investor.ti.com/news-releases
texas-pacific,TPL,notified,notified,https://www.texaspacific.com/investors/news-releases
the-trade-desk,TTD,q4,q4_ir,https://investors.thetradedesk.com/news/default.aspx
thermo-fisher,TMO,q4,q4_ir,https://ir.thermofisher.com/investors/news-events/news/default.aspx
tjx,TJX,notified,notified_gated,https://investor.tjx.com/investors/press-releases
tractor-supply,TSCO,unknown,unknown,https://ir.tractorsupply.com/
trane-technologies,TT,unknown,unknown,https://investors.tranetechnologies.com/
travelers,TRV,q4,q4_ir,https://investor.travelers.com/newsroom/press-releases/default.aspx
tyler-tech,TYL,q4,q4_ir,https://investors.tylertech.com/news/default.aspx
uber,UBER,unknown,unknown,https://investor.uber.com/
ulta,ULTA,notified,notified,https://www.ulta.com/investor/news-releases
united-airlines,UAL,notified,notified,https://ir.united.com/news-releases
united-rentals,URI,q4,q4_ir,https://investor-relations.unitedrentals.com/press-releases/default.aspx
universal-health-services,UHS,notified,notified,https://ir.uhs.com/news-releases
ventas,VTR,investis,investis,https://ir.ventasreit.com/news-releases
verisign,VRSN,notified,notified,https://investor.verisign.com/news-releases
verisk-analytics,VRSK,unknown,unknown,https://investor.verisk.com/
verizon,VZ,notified,notified,https://www.verizon.com/about/investors/news-releases
vertex-pharmaceuticals,VRTX,notified,notified,https://investors.vrtx.com/news-releases
vertiv,VRT,q4,q4_ir,https://investors.vertiv.com/news/default.aspx
virtu,VIRT,notified,notified,https://ir.virtu.com/press-releases
visa,V,q4,q4_ir,https://investor.visa.com/news/default.aspx
vistra,VST,investorroom,investorroom,https://investor.vistracorp.com/news-releases
wabtec,WAB,notified,notified,https://ir.wabteccorp.com/news-releases
warner-bros-discovery,WBD,q4,q4_ir,https://ir.wbd.com/news/default.aspx
wec-energy,WEC,unknown,unknown,https://investor.wecenergygroup.com/
western-digital,WDC,notified,notified,https://investor.wdc.com/news-releases
weyerhaeuser,WY,investorroom,investorroom,https://investor.weyerhaeuser.com/news-releases
willis-towers-watson,WTW,notified,notified,https://investors.wtwco.com/news-releases
workday,WDAY,q4,q4_ir,https://investor.workday.com/news-and-events/press-releases/default.aspx
xylem,XYL,unknown,unknown,https://www.xylem.com/en-us/investors/
yum-brands,YUM,unknown,unknown,https://investors.yum.com/
zebra,ZBRA,q4,q4_ir,https://investors.zebra.com/news/default.aspx
zimmer-biomet,ZBH,investis,investis,https://investor.zimmerbiomet.com/news-releases
